SubjCodepanasneu,Subject,Distraction,Interested,panasneuDistressed,panasneuExcited,panasneuUpset,panasneuStrong,panasneuGuilty,panasneuScared,panasneuHostile,panasneuEnthusiastic,panasneuProud,panasneuIrritable,panasneuAlert,panasneuAshamed,panasneuInspired,panasneuNervous,panasneuDetermined,panasneuAttentive,panasneuJittery,panasneuActive,panasneuAfraid,Subject
87-a5,87,A,3,2,1,1,2,1,1,1,2,2,1,2,2,1,2,1,2,1,1,1,87
88-a3,88,A,3,1,1,1,1,1,1,1,2,2,1,4,1,2,1,1,4,1,3,1,88
89-c6,89,C,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,3,1,3,1,89
90-c5,90,C,3,3,3,3,3,1,1,1,3,3,1,3,1,3,1,3,3,1,1,1,90
91-c5,91,C,3,1,3,1,1,1,1,1,2,1,1,3,1,2,2,1,3,1,1,1,91
92-c5,92,C,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,92
93-a5,93,A,4,2,2,1,1,1,1,1,3,2,1,4,1,2,2,3,5,3,3,1,93
94-b4,94,B,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,94
95-c1,95,C,4,1,4,1,1,1,1,1,3,1,1,5,1,1,1,1,5,1,4,1,95
96-a5,96,A,1,3,3,1,3,1,1,1,3,3,1,4,1,4,1,5,5,1,5,1,96
97-c2,97,C,1,1,1,3,2,1,1,4,1,2,4,3,1,1,1,2,3,2,1,1,97
